act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.2932, 0.0022]","[0.297, 0]",210.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.0115, 0.0004]","[62.227, 0]",90.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.006, 0.0002]","[82.1228, 0]",80.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0026, 0.0001]","[14647.5132, 0]",90.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.0039, 0.0001]","[928.1328, 0]",70.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.2915, 0.0022]","[0.3055, 0]",80.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2926, 0.0022]","[0.3416, 0]",120.0
