act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,0.001,0.5,"[0.0771, 0.0021]","[0.4142, 0]",250.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,0.5,0.5,"[0.086, 0.0022]","[0.4133, 0]",490.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,0.01,0.5,"[0.0782, 0.0021]","[0.4274, 0]",240.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,1.0,0.5,"[0.0838, 0.0022]","[0.4234, 0]",470.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,10.0,0.5,"[0.08, 0.0022]","[0.4409, 0]",370.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.2,0,False,0.1,0.5,"[0.0831, 0.0022]","[0.4213, 0]",310.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0,800,800,True,5000,50,0.2,0,False,0.001,0.5,"[0.0777, 0.0021]","[0.3965, 0]",290.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0,800,800,True,5000,50,0.2,0,False,0.5,0.5,"[0.0862, 0.0022]","[0.3906, 0]",670.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0,800,800,True,5000,50,0.2,0,False,0.01,0.5,"[0.0784, 0.0021]","[0.4191, 0]",250.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.01,0.0,800,800,True,5000,50,0.2,0,False,0.001,0.5,"[0.0705, 0.0019]","[0.3436, 0]",350.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0,800,800,True,5000,50,0.2,0,False,10.0,0.5,"[0.0777, 0.0022]","[0.4552, 0]",240.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0,800,800,True,5000,50,0.2,0,False,0.1,0.5,"[0.0824, 0.0022]","[0.4031, 0]",370.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.2,0,False,0.001,0.5,"[0.0788, 0.0021]","[0.4224, 0]",250.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.2,0,False,0.5,0.5,"[0.0868, 0.0022]","[0.4023, 0]",580.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.2,0,False,0.01,0.5,"[0.0789, 0.0021]","[0.4151, 0]",260.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.01,1e-05,800,800,True,5000,50,0.2,0,False,0.001,0.5,"[0.072, 0.0019]","[0.3387, 0]",290.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.2,0,False,10.0,0.5,"[0.0808, 0.0022]","[0.4188, 0]",380.0
tanh,50,False,0.2,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.2,0,False,0.1,0.5,"[0.0822, 0.0022]","[0.4011, 0]",360.0
