act,hidden_dim,sparse_normalization,dropout_ratio,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,weighted_recon,NDCG,RMSE,best_epoch
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1915, 0.0017]","[0.3868, 0]",360.0
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.1998, 0.0017]","[0.3429, 0]",270.0
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.2053, 0.0017]","[0.3218, 0]",240.0
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1791, 0.0018]","[0.4402, 0]",250.0
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1704, 0.0017]","[0.566, 0]",260.0
relu,50,False,0.0,0.0001,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.173, 0.0017]","[0.4897, 0]",160.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.1909, 0.0017]","[0.3903, 0]",220.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1995, 0.0017]","[0.3422, 0]",290.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.2042, 0.0017]","[0.3167, 0]",250.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1828, 0.0017]","[0.4486, 0]",160.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1673, 0.0017]","[0.5626, 0]",310.0
relu,50,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1745, 0.0018]","[0.4806, 0]",210.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1896, 0.0017]","[0.3829, 0]",230.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.1987, 0.0017]","[0.3425, 0]",160.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.2045, 0.0017]","[0.3194, 0]",300.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.1835, 0.0018]","[0.4367, 0]",280.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1635, 0.0018]","[0.5622, 0]",270.0
relu,50,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1758, 0.0018]","[0.4777, 0]",350.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1891, 0.0017]","[0.3812, 0]",1270.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.2007, 0.0017]","[0.3314, 0]",1880.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.2042, 0.0017]","[0.3127, 0]",1750.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.18, 0.0018]","[0.4355, 0]",1260.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1692, 0.0017]","[0.5775, 0]",980.0
relu,50,False,0.0,1e-05,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.1759, 0.0018]","[0.4775, 0]",1410.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.1886, 0.0017]","[0.3849, 0]",1090.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.2008, 0.0017]","[0.3323, 0]",2040.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.2023, 0.0017]","[0.313, 0]",1480.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1806, 0.0018]","[0.4317, 0]",1440.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1703, 0.0017]","[0.5785, 0]",990.0
relu,50,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1722, 0.0017]","[0.4991, 0]",750.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1875, 0.0017]","[0.3851, 0]",1010.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.2013, 0.0017]","[0.3321, 0]",2020.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.2034, 0.0017]","[0.3118, 0]",1720.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.1801, 0.0018]","[0.4318, 0]",1540.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1703, 0.0017]","[0.5817, 0]",950.0
relu,50,False,0.0,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1767, 0.0018]","[0.4708, 0]",1630.0
relu,50,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1873, 0.0017]","[0.4031, 0]",60.0
relu,200,False,0.4,0.001,0.0001,800,800,True,5000,100,0.5,0,0.5,"[0.1502, 0.0017]","[0.5051, 0]",50.0
relu,50,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1963, 0.0017]","[0.3172, 0]",120.0
relu,50,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1787, 0.0017]","[0.4557, 0]",50.0
relu,50,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1524, 0.0016]","[0.5901, 0]",60.0
relu,50,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.1513, 0.0016]","[0.4737, 0]",330.0
relu,200,False,0.4,0.001,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.1767, 0.0017]","[0.4888, 0]",70.0
relu,50,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1953, 0.0017]","[0.3595, 0]",70.0
relu,50,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.1971, 0.0017]","[0.3078, 0]",190.0
relu,50,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1775, 0.0017]","[0.4524, 0]",50.0
relu,50,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1616, 0.0017]","[0.5927, 0]",90.0
relu,50,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1539, 0.0016]","[0.5371, 0]",300.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1861, 0.0017]","[0.3984, 0]",70.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.1945, 0.0017]","[0.3319, 0]",560.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1982, 0.0017]","[0.3102, 0]",290.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.1725, 0.0017]","[0.471, 0]",90.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1726, 0.0016]","[0.6128, 0]",70.0
relu,50,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1741, 0.0017]","[0.4998, 0]",70.0
relu,50,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,200,False,0.4,1e-05,0.0001,800,800,True,5000,100,0.5,0,0.5,"[0.1626, 0.0018]","[0.4962, 0]",420.0
relu,50,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1603, 0.0016]","[0.379, 0]",130.0
relu,50,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1564, 0.0015]","[0.5296, 0]",90.0
relu,50,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1602, 0.0016]","[0.4067, 0]",110.0
relu,50,False,0.0,0.01,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.1601, 0.0016]","[0.3741, 0]",120.0
relu,50,False,0.0,0.01,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,200,False,0.4,1e-05,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.1533, 0.0018]","[0.5514, 0]",500.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1593, 0.0015]","[0.4623, 0]",90.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1602, 0.0016]","[0.3788, 0]",100.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.0,0.01,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.0001,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1855, 0.0017]","[0.4665, 0]",120.0
relu,50,False,0.2,0.0001,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.1964, 0.0017]","[0.3959, 0]",270.0
relu,50,False,0.2,0.0001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1982, 0.0017]","[0.373, 0]",190.0
relu,50,False,0.2,0.0001,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1752, 0.0017]","[0.5407, 0]",120.0
relu,50,False,0.2,0.0001,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.166, 0.0017]","[0.6725, 0]",160.0
relu,200,False,0.0,0.01,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.1848, 0.0017]","[0.4612, 0]",150.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.195, 0.0017]","[0.397, 0]",260.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.1977, 0.0017]","[0.3624, 0]",230.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1767, 0.0018]","[0.5148, 0]",150.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1675, 0.0019]","[0.6202, 0]",330.0
relu,50,False,0.2,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1715, 0.0018]","[0.5633, 0]",200.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1862, 0.0018]","[0.4473, 0]",190.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.1943, 0.0017]","[0.3941, 0]",240.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1974, 0.0017]","[0.3725, 0]",190.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.1779, 0.0017]","[0.5273, 0]",130.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1646, 0.0018]","[0.636, 0]",270.0
relu,50,False,0.2,0.0001,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1709, 0.0018]","[0.5566, 0]",240.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1831, 0.0017]","[0.4444, 0]",930.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.1917, 0.0017]","[0.3902, 0]",900.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1972, 0.0017]","[0.3544, 0]",1860.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,0.3,"[0.1756, 0.0018]","[0.4831, 0]",1360.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1703, 0.0017]","[0.6477, 0]",1000.0
relu,50,False,0.2,1e-05,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.1706, 0.0017]","[0.569, 0]",710.0
relu,50,False,0.2,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.183, 0.0017]","[0.4404, 0]",940.0
relu,50,False,0.2,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1902, 0.0017]","[0.3892, 0]",970.0
relu,200,False,0.0,0.0001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.1685, 0.0019]","[0.5466, 0]",290.0
relu,50,False,0.2,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1726, 0.0017]","[0.5068, 0]",840.0
relu,50,False,0.2,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.1,"[0.1693, 0.0017]","[0.6633, 0]",850.0
relu,50,False,0.2,1e-05,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1705, 0.0017]","[0.5756, 0]",680.0
relu,50,False,0.2,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1829, 0.0018]","[0.4398, 0]",960.0
relu,50,False,0.2,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.8,"[0.1912, 0.0017]","[0.3863, 0]",1070.0
relu,50,False,0.2,1e-05,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1959, 0.0017]","[0.3631, 0]",1140.0
relu,200,False,0.0,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.2,"[0.1756, 0.0018]","[0.4973, 0]",100.0
relu,50,False,0.2,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.1,"[0.1691, 0.0017]","[0.6474, 0]",1010.0
relu,50,False,0.2,1e-05,1e-05,800,800,True,5000,100,0.3,0,0.2,"[0.1701, 0.0017]","[0.5712, 0]",720.0
relu,50,False,0.2,0.001,0.0,800,800,True,5000,100,0.3,0,0.5,"[0.1768, 0.0018]","[0.426, 0]",50.0
relu,50,False,0.2,0.001,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.1845, 0.0018]","[0.3683, 0]",70.0
relu,50,False,0.2,0.001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.1879, 0.0017]","[0.3724, 0]",60.0
relu,200,False,0.0,0.001,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.1619, 0.0017]","[0.5001, 0]",90.0
relu,50,False,0.2,0.001,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.1571, 0.0017]","[0.6488, 0]",110.0
relu,50,False,0.2,0.001,0.0,800,800,True,5000,100,0.3,0,0.2,"[0.1663, 0.0018]","[0.5631, 0]",60.0
relu,50,False,0.2,0.001,0.0001,800,800,True,5000,100,0.3,0,0.5,"[0.1805, 0.0017]","[0.4425, 0]",60.0
relu,50,False,0.2,0.001,0.0001,800,800,True,5000,100,0.3,0,0.8,"[0.1781, 0.0017]","[0.3891, 0]",110.0
relu,200,False,0.0,0.001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.1501, 0.0018]","[0.535, 0]",100.0
relu,50,False,0.2,0.001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.164, 0.0018]","[0.4788, 0]",60.0
relu,200,False,0.0,0.001,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.198, 0.0017]","[0.3014, 0]",470.0
relu,50,False,0.2,0.001,0.0001,800,800,True,5000,100,0.3,0,0.2,"[0.1681, 0.0018]","[0.5017, 0]",70.0
relu,50,False,0.2,0.001,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1802, 0.0018]","[0.4526, 0]",80.0
relu,200,False,0.0,0.001,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.1804, 0.0018]","[0.379, 0]",120.0
relu,50,False,0.2,0.001,1e-05,800,800,True,5000,100,0.3,0,1.0,"[0.1957, 0.0017]","[0.369, 0]",60.0
relu,50,False,0.2,0.001,1e-05,800,800,True,5000,100,0.3,0,0.3,"[0.1708, 0.0018]","[0.4797, 0]",50.0
