act,hidden_dim,sparse_normalization,dropout_ratio,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.3,"[0.0802, 0.0012]","[0.6076, 0]",200.0
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.0734, 0.0017]","[0.7172, 0]",210.0
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.1249, 0.0014]","[0.4913, 0]",170.0
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.1339, 0.0015]","[0.4783, 0]",180.0
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.2,"[0.0775, 0.0014]","[0.6157, 0]",200.0
tanh,150,False,0.8,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.1034, 0.0013]","[0.5265, 0]",180.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.0902, 0.0014]","[0.6029, 0]",220.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.0606, 0.0013]","[0.6895, 0]",170.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.1194, 0.0014]","[0.4989, 0]",170.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.1332, 0.0015]","[0.473, 0]",200.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.0754, 0.0013]","[0.6377, 0]",190.0
tanh,150,False,0.8,0.0001,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.1108, 0.0014]","[0.5408, 0]",200.0
tanh,150,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.0836, 0.0013]","[0.5958, 0]",200.0
tanh,150,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.075, 0.0017]","[0.7264, 0]",200.0
tanh,150,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.1113, 0.0013]","[0.4904, 0]",200.0
tanh,150,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.127, 0.0014]","[0.4802, 0]",160.0
tanh,100,False,0.0,1e-05,0.0001,800,800,True,5000,100,0.3,0,1.0,"[0.2069, 0.0017]","[0.3085, 0]",1030.0
tanh,150,False,0.8,0.0001,0.0001,800,800,True,5000,100,0.5,0,0.5,"[0.1024, 0.0012]","[0.5384, 0]",150.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,0.3,"[0.0851, 0.0013]","[0.5139, 0]",110.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.0847, 0.0013]","[0.5866, 0]",310.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.1343, 0.0015]","[0.4731, 0]",90.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.1516, 0.0015]","[0.433, 0]",230.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,0.2,"[0.0696, 0.0014]","[0.5985, 0]",70.0
tanh,150,False,0.8,0.001,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.1154, 0.0017]","[0.4355, 0]",250.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.0949, 0.0013]","[0.5478, 0]",70.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.0698, 0.0011]","[0.6973, 0]",80.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.1666, 0.0014]","[0.7494, 0]",70.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.133, 0.0014]","[0.5038, 0]",60.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.0632, 0.0011]","[0.6132, 0]",60.0
tanh,150,False,0.8,0.001,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.1043, 0.0015]","[0.4414, 0]",190.0
tanh,150,False,0.8,0.001,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.0892, 0.0015]","[0.4907, 0]",170.0
tanh,150,False,0.8,0.001,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.0542, 0.0013]","[0.6092, 0]",210.0
tanh,150,False,0.8,0.001,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.1215, 0.0014]","[0.4365, 0]",90.0
tanh,150,False,0.8,0.001,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.1314, 0.0013]","[0.4192, 0]",80.0
tanh,150,False,0.8,0.001,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.1019, 0.0016]","[0.6059, 0]",220.0
tanh,100,False,0.0,0.0001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1831, 0.0018]","[0.4135, 0]",160.0
tanh,150,False,0.8,1e-05,1e-05,800,800,True,5000,100,0.5,0,0.3,"[0.1467, 0.0014]","[1.3372, 0]",110.0
tanh,150,False,0.8,1e-05,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.1425, 0.0014]","[1.6702, 0]",90.0
tanh,150,False,0.8,1e-05,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.1523, 0.0015]","[0.9906, 0]",140.0
tanh,150,False,0.8,1e-05,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.1539, 0.0015]","[0.9049, 0]",140.0
tanh,100,False,0.0,0.001,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.2101, 0.0017]","[0.331, 0]",100.0
tanh,150,False,0.8,1e-05,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.1492, 0.0015]","[1.1451, 0]",130.0
tanh,150,False,0.8,1e-05,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.1466, 0.0014]","[1.3267, 0]",110.0
tanh,150,False,0.8,1e-05,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.1404, 0.0014]","[1.6092, 0]",90.0
tanh,100,False,0.0,0.001,1e-05,800,800,True,5000,100,0.3,0,0.5,"[0.1907, 0.0017]","[0.3471, 0]",80.0
tanh,150,False,0.8,1e-05,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.1533, 0.0015]","[0.7879, 0]",170.0
tanh,150,False,0.8,1e-05,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.1407, 0.0014]","[1.4489, 0]",110.0
tanh,150,False,0.8,1e-05,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.1519, 0.0015]","[1.1779, 0]",130.0
tanh,150,False,0.8,1e-05,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.1456, 0.0014]","[1.346, 0]",110.0
tanh,150,False,0.8,1e-05,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.1449, 0.0014]","[1.6546, 0]",100.0
tanh,150,False,0.8,1e-05,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.1503, 0.0015]","[1.0014, 0]",130.0
tanh,150,False,0.8,1e-05,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.1543, 0.0015]","[0.9657, 0]",130.0
tanh,150,False,0.8,1e-05,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.1413, 0.0014]","[1.4827, 0]",110.0
tanh,100,False,0.0,0.001,0.0001,800,800,True,5000,100,0.3,0,0.3,"[0.1846, 0.0017]","[0.4577, 0]",90.0
tanh,150,False,0.8,0.01,1e-05,800,800,True,5000,100,0.5,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.8,0.01,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.0083, 0.0003]","[55.7827, 0]",50.0
tanh,150,False,0.8,0.01,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.0,0.01,0.0,800,800,True,5000,100,0.3,0,0.1,"[0.0098, 0.0004]","[1434.7272, 0]",50.0
tanh,150,False,0.8,0.01,1e-05,800,800,True,5000,100,0.5,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.8,0.01,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.0152, 0.0004]","[14.2477, 0]",220.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.0115, 0.0003]","[837.4265, 0]",150.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.0263, 0.0005]","[799.6761, 0]",220.0
tanh,150,False,0.8,0.01,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
