act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0.2,20,2,2,100,BK,1,1,0.001,1e-05,800,800,True,5000,50,0.3,0,False,10.0,0.5,"[0.0696, 0.002]","[0.3975, 0]",130.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.3,0,False,1.0,0.5,"[0.0812, 0.0021]","[0.3998, 0]",1990.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.3,0,False,0.001,0.5,"[0.0348, 0.0012]","[0.248, 0]",130.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.3,0,False,10.0,0.5,"[0.0533, 0.0017]","[0.2577, 0]",260.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.3,0,False,0.5,0.5,"[0.0409, 0.0015]","[0.2366, 0]",140.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.3,0,False,0.01,0.5,"[0.0432, 0.0015]","[0.2168, 0]",120.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.3,0,False,0.1,0.5,"[0.0419, 0.0015]","[0.2311, 0]",130.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.3,0,False,1.0,0.5,"[0.0799, 0.0021]","[0.416, 0]",1770.0
tanh,100,False,0.0,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.3,0,False,0.001,0.5,"[0.0416, 0.0014]","[0.2253, 0]",120.0
tanh,150,False,0.2,20,2,2,100,BK,1,1,0.001,0.0,800,800,True,5000,50,0.3,0,False,0.01,0.5,"[0.1018, 0.0023]","[0.2476, 0]",250.0
